GEOID,pop_total,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other
245101602003,567,308,0,0,12,0,239,63,27,16,25,0,0,24,44,0,21,12,7,0,0,0,0,216,0,0,0,6,0,0,0,0,0,0,0,7,33,0,6,98,37,24,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,23,216,567,239,328,34,0,0,0,0,0,294
245101401003,984,885,171,21,14,0,621,196,108,0,57,19,8,0,8,0,13,73,29,68,0,22,20,463,0,0,0,127,0,51,17,14,47,51,21,19,0,9,0,0,8,20,24,0,55,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,27,41,19,14,8,0,0,0,0,621,158,463,800,621,179,81,17,41,0,0,0,40
245101506005,1010,611,52,11,0,0,245,0,25,41,10,0,34,28,10,0,27,11,15,12,26,6,0,104,0,0,0,0,0,0,0,0,0,0,0,0,28,0,15,0,0,36,0,0,25,0,0,0,141,0,0,0,11,0,49,0,11,0,0,0,42,0,12,8,8,0,0,0,0,0,0,0,0,0,0,245,141,104,412,245,167,0,0,0,0,0,0,167
245100401002,2258,1733,574,583,200,98,1394,144,108,59,31,15,120,0,26,81,129,350,160,46,31,70,24,1376,0,0,0,0,55,0,0,0,0,0,0,41,0,0,0,22,31,152,541,534,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,18,1376,1648,1394,254,11,84,0,0,18,0,141
245100907002,440,175,0,0,0,0,176,40,0,75,0,0,14,41,6,0,0,0,0,0,0,0,0,150,0,0,0,10,0,0,0,0,0,0,0,0,0,62,0,0,0,0,65,0,0,0,0,0,26,0,0,0,0,0,0,0,6,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,176,26,150,248,176,72,0,0,0,0,0,0,72
245101102001,2287,1870,608,352,267,131,1492,188,109,22,16,102,46,29,16,34,181,193,173,120,52,88,123,1291,0,40,16,87,0,0,0,0,16,0,0,0,0,0,33,95,144,216,156,286,82,79,0,0,201,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,40,0,14,71,47,0,14,0,0,0,0,1492,201,1291,1706,1492,214,116,0,34,0,0,0,64
245101307005,1230,927,260,178,16,157,557,0,11,0,49,14,0,38,17,26,72,69,25,69,63,104,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,14,0,32,0,37,37,54,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,99,71,42,88,9,0,0,0,0,557,323,234,557,557,0,0,0,0,0,0,0,0
245102714003,1777,922,159,323,113,220,612,69,0,9,6,24,31,31,0,14,18,55,35,56,31,62,171,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,88,46,62,4,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,16,0,9,44,88,69,46,28,20,10,0,612,345,267,714,612,102,52,22,0,0,20,0,8
245102803021,1288,884,97,5,17,0,548,40,48,79,26,9,38,22,46,28,71,56,27,27,0,9,22,450,13,0,0,0,0,3,0,8,0,0,0,5,19,0,0,37,88,200,43,0,0,4,0,0,98,0,0,0,0,0,0,0,0,0,0,0,9,0,16,32,21,12,0,0,0,0,0,8,0,0,0,548,98,450,620,548,72,16,0,9,0,0,0,47
245102301002,806,543,110,22,29,5,328,17,22,47,10,18,5,41,0,26,29,46,14,7,7,33,6,276,0,0,0,0,0,9,13,0,0,8,6,0,0,0,0,7,21,72,51,57,16,16,0,0,52,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,16,12,7,0,11,0,0,0,0,328,52,276,401,328,73,39,9,0,0,0,0,25
245102502053,884,613,48,28,0,0,311,38,28,24,10,34,0,11,15,0,29,14,48,40,0,20,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,20,44,0,0,0,0,185,0,0,0,0,0,0,0,14,0,9,0,30,0,60,0,36,8,0,28,0,0,0,0,0,0,0,311,185,126,382,311,71,29,0,22,0,0,0,20
245102502055,745,420,107,56,0,0,323,8,18,26,7,8,22,65,12,0,19,9,83,38,0,0,8,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,137,127,10,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,5,8,0,12,0,0,0,0,0,0,0,0,0,0,323,33,290,402,323,79,0,0,20,20,0,0,39
245102805002,534,355,7,0,0,0,85,10,24,26,0,9,0,16,0,0,0,0,0,0,0,0,0,85,0,0,4,0,0,0,0,5,6,0,9,6,0,24,0,16,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85,85,85,0,0,0,0,0,0,0,0
