GEOID,pop_total,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_61,male_62_64,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_61,female_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85plus,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other,avg_hh_size,yrbuilt_total,yrbuilt_owner_2014plus,yrbuilt_owner_2010_13,yrbuilt_owner_2000_09,yrbuilt_owner_1990_99,yrbuilt_owner_1980_89,yrbuilt_owner_1970_79,yrbuilt_owner_1960_69,yrbuilt_owner_1950_59,yrbuilt_owner_1940_49,yrbuilt_owner_pre1940,yrbuilt_renter_2014plus,yrbuilt_renter_2010_13,yrbuilt_renter_2000_09,yrbuilt_renter_1990_99,yrbuilt_renter_1980_89,yrbuilt_renter_1970_79,yrbuilt_renter_1960_69,yrbuilt_renter_1950_59,yrbuilt_renter_1940_49,yrbuilt_renter_pre1940,commute_total,commute_drive_alone,commute_carpool,commute_transit,commute_walk,commute_wfh,mobility_total,mobility_same_house,mobility_moved_same_county,mobility_moved_diff_county,mobility_moved_diff_state,mobility_moved_abroad,poverty_total_denom,poverty_below
245100101001,859,15,0,0,13,53,115,0,0,0,0,64,78,55,66,20,22,13,0,0,82,72,22,38,11,13,0,0,0,0,20,0,0,0,0,0,0,0,0,744,274,167,116,66,464,0,0,17,0,0,0,0,0,0,6,22,30,80,54,93,162,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,5,16,4,8,399,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,24,20,61,101,125,48,9,0,0,0,464,399,65,541,464,77,46,0,22,0,9,0,0,1.85,464,399,0,0,0,0,15,16,0,23,8,337,65,0,0,0,0,8,0,0,4,734,467,46,35,29,130,,,,,,,,
245100101002,893,0,0,0,0,65,99,16,0,0,109,20,149,44,44,13,46,22,12,0,31,57,0,0,17,0,0,7,0,4,0,0,0,17,0,0,0,0,29,676,310,157,69,64,480,7,0,19,0,0,0,8,23,0,0,75,28,35,18,87,180,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,13,30,20,0,0,389,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,35,122,95,97,0,0,0,0,480,389,91,605,480,125,25,0,0,0,0,0,100,1.86,480,389,0,0,8,0,0,23,0,17,0,341,91,0,0,11,0,8,0,27,22,706,432,32,28,37,159,,,,,,,,
245100101003,1051,0,0,0,0,41,73,0,0,0,0,77,64,37,20,21,11,71,0,37,13,17,20,0,54,0,50,16,6,27,47,35,61,47,16,19,28,15,34,957,425,144,97,45,535,0,61,0,0,0,27,8,0,0,0,18,143,22,26,30,200,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,69,4,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,95,14,39,177,16,0,0,0,535,428,107,546,535,11,0,0,0,0,0,0,11,1.68,535,428,0,0,71,0,100,5,0,0,15,237,107,0,26,48,14,0,0,0,0,517,390,0,6,56,56,,,,,,,,
245100102001,623,0,0,0,23,57,85,0,0,0,12,29,53,34,10,0,6,0,0,6,23,8,0,58,43,0,30,0,0,53,0,0,7,0,0,18,4,0,0,524,168,191,30,10,324,24,0,4,0,7,22,41,0,0,0,26,15,28,8,120,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,8,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,24,12,24,42,82,21,43,0,0,0,0,324,255,69,401,324,77,27,0,19,0,0,0,31,1.92,324,255,0,0,6,0,0,0,0,0,0,249,69,0,0,0,0,9,0,10,7,446,358,17,0,10,51,,,,,,,,
245100102002,680,0,0,0,0,8,86,0,0,0,0,57,50,42,54,21,34,10,9,0,63,21,0,0,9,8,0,0,0,0,0,0,8,0,0,0,0,0,0,480,192,173,25,0,267,0,8,0,0,0,0,0,0,0,14,0,8,69,11,30,127,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,13,35,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,48,45,67,14,0,0,0,0,267,190,77,267,267,0,0,0,0,0,0,0,0,2.55,267,190,0,19,0,0,0,5,0,8,0,158,77,0,0,0,0,0,0,0,13,392,285,0,0,41,53,,,,,,,,
245100102003,1061,0,0,0,10,72,147,0,0,0,9,243,214,100,19,0,0,22,5,0,82,0,15,0,14,0,0,7,0,0,0,8,0,23,0,0,8,0,0,979,407,176,78,26,473,6,5,0,0,8,16,0,23,0,27,21,28,38,29,75,197,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,45,4,0,0,401,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,53,39,63,184,37,0,0,0,0,473,401,72,496,473,23,0,0,0,0,0,0,23,2.24,473,401,0,0,0,0,7,0,16,13,48,317,72,0,0,0,0,0,0,0,0,851,373,0,40,9,406,,,,,,,,
245100102004,636,0,0,0,0,74,79,0,0,0,1,118,8,49,0,0,16,0,0,0,68,66,0,7,13,0,6,0,0,0,10,0,0,0,0,0,0,0,0,514,286,40,56,35,290,13,8,0,8,0,0,0,35,0,7,4,28,33,0,109,45,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,44,47,0,8,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,76,25,33,0,0,0,0,290,178,112,290,290,0,0,0,0,0,0,0,0,2.19,290,178,0,0,0,0,6,0,0,0,0,172,112,0,0,0,0,0,0,0,0,485,346,0,8,20,111,,,,,,,,
245100103001,1059,0,0,0,7,73,162,0,0,0,2,147,169,58,32,0,30,12,0,0,151,21,11,14,0,0,9,0,0,0,0,0,0,0,0,0,27,0,0,916,346,172,249,12,519,0,0,10,0,0,0,0,0,6,0,9,32,46,33,239,144,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,29,0,36,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,69,207,84,12,11,0,0,17,519,409,110,609,519,90,24,0,13,0,0,0,53,2.04,519,409,0,16,35,0,0,0,0,32,0,326,110,0,36,0,0,0,0,0,0,848,648,5,11,0,156,,,,,,,,
245100103002,872,0,0,0,34,121,127,0,0,0,30,103,89,90,23,7,11,12,13,11,79,5,0,24,16,0,0,0,6,4,0,0,0,13,0,10,4,0,7,775,372,152,54,75,446,23,0,0,0,0,0,0,0,0,18,16,71,62,4,113,139,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,71,38,29,5,271,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,44,76,97,32,0,15,0,0,0,446,271,175,522,446,76,24,0,0,0,0,0,52,1.96,446,271,0,18,13,0,0,0,0,12,11,217,175,0,0,21,0,16,16,0,6,764,368,19,0,35,290,,,,,,,,
245100104001,949,0,0,0,32,19,114,0,0,0,0,81,93,19,72,1,37,29,0,34,60,33,0,12,51,18,0,0,0,17,0,0,0,0,56,6,0,7,0,759,251,293,50,40,430,0,11,0,0,0,24,0,43,0,58,56,33,33,42,46,84,109,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,43,23,7,6,15,321,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,51,44,80,73,43,19,0,0,0,0,430,321,109,512,430,82,25,0,0,0,0,0,57,2.2,430,321,0,0,11,0,27,0,0,9,25,249,109,0,0,0,0,16,0,7,0,501,274,0,41,72,96,,,,,,,,
