Metric,Value
NSA ID,101
NSA Name,Cross Keys
Total Population,915
Median HH Income ($),"$82,973"
Median Gross Rent ($/mo),"$1,382"
% Renter-Occupied,17.6%
Population Change (%),7.5%
Pop Density (per km²),1271.6
% Age 18–34,8.3%
% Age 35–64,22.2%
% Age 65+,60.2%
% Bachelor's or Higher,70.3%
Avg Household Size,1.5
% Drive Alone,50.5%
% Public Transit,1.0%
% Walk,4.2%
% Work from Home,40.3%
Median Home Value ($),"$197,088"
Vacancy Rate (%),3.1%
% Owner-Occupied,82.4%
% Units Built Pre-1950,10.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,851
Population Change (abs),63
Prior Income (CPI-adj $),"$79,510"
"Income Change (%, inflation-adj)",4.4%
Prior Median Rent ($/mo),"$1,346"
Rent Change (%),2.7%
