Metric,Value
NSA ID,104
NSA Name,Darley Park
Total Population,"1,015"
Median HH Income ($),"$28,702"
Median Gross Rent ($/mo),"$1,196"
% Renter-Occupied,49.1%
Population Change (%),19.1%
Pop Density (per km²),7101.5
% Age 18–34,21.8%
% Age 35–64,45.1%
% Age 65+,15.5%
% Bachelor's or Higher,1.7%
Avg Household Size,2.4
% Drive Alone,49.2%
% Public Transit,10.6%
% Walk,14.5%
% Work from Home,11.9%
Median Home Value ($),"$46,825"
Vacancy Rate (%),18.2%
% Owner-Occupied,50.9%
% Units Built Pre-1950,25.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,852
Population Change (abs),162
Prior Income (CPI-adj $),"$32,645"
"Income Change (%, inflation-adj)",-12.1%
Prior Median Rent ($/mo),"$1,200"
Rent Change (%),-0.3%
