Metric,Value
NSA ID,106
NSA Name,Dolfield
Total Population,"2,215"
Median HH Income ($),"$41,123"
Median Gross Rent ($/mo),"$1,081"
% Renter-Occupied,43.5%
Population Change (%),37.3%
Pop Density (per km²),5030.1
% Age 18–34,26.7%
% Age 35–64,39.8%
% Age 65+,10.5%
% Bachelor's or Higher,17.1%
Avg Household Size,2.6
% Drive Alone,25.5%
% Public Transit,23.6%
% Walk,2.5%
% Work from Home,36.9%
Median Home Value ($),"$185,283"
Vacancy Rate (%),7.7%
% Owner-Occupied,56.5%
% Units Built Pre-1950,23.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,613"
Population Change (abs),601
Prior Income (CPI-adj $),"$43,379"
"Income Change (%, inflation-adj)",-5.2%
Prior Median Rent ($/mo),$965
Rent Change (%),12.0%
