Metric,Value
NSA ID,107
NSA Name,Dorchester
Total Population,"2,134"
Median HH Income ($),"$77,650"
Median Gross Rent ($/mo),"$1,287"
% Renter-Occupied,17.5%
Population Change (%),26.7%
Pop Density (per km²),4321.1
% Age 18–34,29.7%
% Age 35–64,32.6%
% Age 65+,13.6%
% Bachelor's or Higher,17.6%
Avg Household Size,3.5
% Drive Alone,49.6%
% Public Transit,32.7%
% Walk,0.0%
% Work from Home,10.1%
Median Home Value ($),"$229,114"
Vacancy Rate (%),18.4%
% Owner-Occupied,82.5%
% Units Built Pre-1950,17.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,684"
Population Change (abs),449
Prior Income (CPI-adj $),"$52,566"
"Income Change (%, inflation-adj)",47.7%
Prior Median Rent ($/mo),$933
Rent Change (%),38.0%
