Metric,Value
NSA ID,110
NSA Name,Druid Hill Park
Total Population,45
Median HH Income ($),"$52,792"
% HH Income Below $50k,47.0%
% HH Income $50k–$100k,26.6%
% HH Income $100k+,26.4%
Median Gross Rent ($/mo),"$1,169"
% Renter-Occupied,67.8%
Population Change (%),8.2%
Pop Density (per km²),17.9
% Age 18–34,21.6%
% Age 35–64,38.3%
% Age 65+,12.8%
% Bachelor's or Higher,31.4%
Avg Household Size,2.5
% Drive Alone,60.9%
% Public Transit,29.4%
% Walk,7.1%
% Work from Home,1.2%
Median Home Value ($),"$159,800"
Vacancy Rate (%),26.2%
% Vacant — For Rent,0.4%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,25.8%
% Owner-Occupied,32.2%
% Units Built Pre-1950,27.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,41
Population Change (abs),3
Pop Change vs City Avg (pp),-744.8%
Prior Income (CPI-adj $),"$34,009"
"Income Change (%, inflation-adj)",55.2%
Income Change vs City Avg (pp),44.9%
Prior Median Rent ($/mo),"$1,513"
Rent Change (%),-22.7%
Rent Change vs City Avg (pp),-48.6%
Prior Median Home Value ($),89120.35344196094
Home Value Change (%),79.3%
Home Value Change vs City Avg (pp),41.2%
Prior Vacancy Rate (%),41.2%
Vacancy Rate Change (pp),-15.0%
Vacancy Change vs City Avg (pp),-10.8%
Prior % Bachelor's+,18.3%
Education Change (pp),13.1%
Education Change vs City Avg (pp),10.2%
Market Signals,Household incomes rising faster than city; Home value appreciation outpacing city
