Metric,Value
NSA ID,111
NSA Name,Dunbar-Broadway
Total Population,"1,076"
Median HH Income ($),"$18,987"
Median Gross Rent ($/mo),$571
% Renter-Occupied,98.2%
Population Change (%),21.8%
Pop Density (per km²),2420.0
% Age 18–34,25.4%
% Age 35–64,20.4%
% Age 65+,4.1%
% Bachelor's or Higher,7.2%
Avg Household Size,2.5
% Drive Alone,28.1%
% Public Transit,44.6%
% Walk,14.1%
% Work from Home,1.5%
Median Home Value ($),"$262,870"
Vacancy Rate (%),9.8%
% Owner-Occupied,1.8%
% Units Built Pre-1950,37.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,883
Population Change (abs),192
Prior Income (CPI-adj $),"$11,326"
"Income Change (%, inflation-adj)",67.6%
Prior Median Rent ($/mo),$256
Rent Change (%),123.0%
