Metric,Value
NSA ID,113
NSA Name,East Arlington
Total Population,"1,315"
Median HH Income ($),"$24,521"
% HH Income Below $50k,66.4%
% HH Income $50k–$100k,29.3%
% HH Income $100k+,4.3%
Median Gross Rent ($/mo),"$1,156"
% Renter-Occupied,41.3%
Population Change (%),-35.8%
Pop Density (per km²),3982.7
% Age 18–34,11.5%
% Age 35–64,50.8%
% Age 65+,37.6%
% Bachelor's or Higher,15.5%
Avg Household Size,1.3
% Drive Alone,67.1%
% Public Transit,30.5%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$190,401"
Vacancy Rate (%),5.0%
% Vacant — For Rent,0.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,5.0%
% Owner-Occupied,58.7%
% Units Built Pre-1950,43.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,049"
Population Change (abs),-734
Pop Change vs City Avg (pp),-788.8%
Prior Income (CPI-adj $),"$44,472"
"Income Change (%, inflation-adj)",-44.9%
Income Change vs City Avg (pp),-55.2%
Prior Median Rent ($/mo),$981
Rent Change (%),17.8%
Rent Change vs City Avg (pp),-8.1%
Prior Median Home Value ($),125287.80731363286
Home Value Change (%),52.0%
Home Value Change vs City Avg (pp),13.9%
Prior Vacancy Rate (%),24.9%
Vacancy Rate Change (pp),-19.9%
Vacancy Change vs City Avg (pp),-15.7%
Prior % Bachelor's+,14.6%
Education Change (pp),0.9%
Education Change vs City Avg (pp),-2.0%
Market Signals,Affordability stress — rents outpacing incomes; Significant population loss
