Metric,Value
NSA ID,114
NSA Name,East Baltimore Midway
Total Population,"1,766"
Median HH Income ($),"$27,414"
Median Gross Rent ($/mo),"$1,436"
% Renter-Occupied,53.6%
Population Change (%),16.6%
Pop Density (per km²),2274.1
% Age 18–34,15.4%
% Age 35–64,51.1%
% Age 65+,15.4%
% Bachelor's or Higher,10.7%
Avg Household Size,2.1
% Drive Alone,63.0%
% Public Transit,19.4%
% Walk,2.5%
% Work from Home,0.0%
Median Home Value ($),"$89,078"
Vacancy Rate (%),36.3%
% Owner-Occupied,46.4%
% Units Built Pre-1950,9.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,514"
Population Change (abs),251
Prior Income (CPI-adj $),"$39,809"
"Income Change (%, inflation-adj)",-31.1%
Prior Median Rent ($/mo),"$1,164"
Rent Change (%),23.3%
