Metric,Value
NSA ID,116
NSA Name,Edmondson Village
Total Population,"3,976"
Median HH Income ($),"$45,844"
Median Gross Rent ($/mo),"$1,267"
% Renter-Occupied,35.9%
Population Change (%),5.8%
Pop Density (per km²),8259.9
% Age 18–34,25.3%
% Age 35–64,32.1%
% Age 65+,18.2%
% Bachelor's or Higher,9.6%
Avg Household Size,2.8
% Drive Alone,59.9%
% Public Transit,35.7%
% Walk,0.4%
% Work from Home,1.4%
Median Home Value ($),"$124,179"
Vacancy Rate (%),7.7%
% Owner-Occupied,64.1%
% Units Built Pre-1950,72.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,758"
Population Change (abs),217
Prior Income (CPI-adj $),"$48,548"
"Income Change (%, inflation-adj)",-5.6%
Prior Median Rent ($/mo),"$1,029"
Rent Change (%),23.1%
