Metric,Value
NSA ID,119
NSA Name,Evergreen
Total Population,545
Median HH Income ($),"$192,222"
Median Gross Rent ($/mo),"$1,415"
% Renter-Occupied,22.3%
Population Change (%),44.6%
Pop Density (per km²),3655.2
% Age 18–34,12.5%
% Age 35–64,39.8%
% Age 65+,10.7%
% Bachelor's or Higher,90.3%
Avg Household Size,3.0
% Drive Alone,51.0%
% Public Transit,1.5%
% Walk,1.7%
% Work from Home,29.3%
Median Home Value ($),"$602,224"
Vacancy Rate (%),0.1%
% Owner-Occupied,77.7%
% Units Built Pre-1950,0.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,376
Population Change (abs),168
Prior Income (CPI-adj $),"$164,372"
"Income Change (%, inflation-adj)",16.9%
Prior Median Rent ($/mo),"$1,177"
Rent Change (%),20.2%
