Metric,Value
NSA ID,121
NSA Name,Fairfield Area
Total Population,113
Median HH Income ($),"$23,142"
Median Gross Rent ($/mo),"$1,324"
% Renter-Occupied,85.8%
Population Change (%),89.2%
Pop Density (per km²),18.1
% Age 18–34,14.5%
% Age 35–64,74.2%
% Age 65+,2.0%
% Bachelor's or Higher,17.0%
Avg Household Size,1.1
% Drive Alone,85.5%
% Public Transit,10.9%
% Walk,0.0%
% Work from Home,1.3%
Median Home Value ($),"$107,131"
Vacancy Rate (%),4.5%
% Owner-Occupied,14.2%
% Units Built Pre-1950,26.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,59
Population Change (abs),53
Prior Income (CPI-adj $),"$9,175"
"Income Change (%, inflation-adj)",152.2%
Prior Median Rent ($/mo),$857
Rent Change (%),54.6%
