Metric,Value
NSA ID,124
NSA Name,Forest Park
Total Population,"1,596"
Median HH Income ($),"$66,245"
Median Gross Rent ($/mo),"$1,171"
% Renter-Occupied,45.5%
Population Change (%),69.0%
Pop Density (per km²),3972.6
% Age 18–34,19.9%
% Age 35–64,46.9%
% Age 65+,10.3%
% Bachelor's or Higher,38.4%
Avg Household Size,2.8
% Drive Alone,51.4%
% Public Transit,21.6%
% Walk,0.6%
% Work from Home,22.9%
Median Home Value ($),"$228,092"
Vacancy Rate (%),22.9%
% Owner-Occupied,54.5%
% Units Built Pre-1950,33.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,944
Population Change (abs),651
Prior Income (CPI-adj $),"$53,470"
"Income Change (%, inflation-adj)",23.9%
Prior Median Rent ($/mo),$947
Rent Change (%),23.6%
