Metric,Value
NSA ID,125
NSA Name,Frankford
Total Population,"19,995"
Median HH Income ($),"$56,426"
Median Gross Rent ($/mo),"$1,157"
% Renter-Occupied,64.8%
Population Change (%),5.0%
Pop Density (per km²),3634.2
% Age 18–34,29.2%
% Age 35–64,34.2%
% Age 65+,10.7%
% Bachelor's or Higher,23.2%
Avg Household Size,2.5
% Drive Alone,66.6%
% Public Transit,14.0%
% Walk,1.4%
% Work from Home,5.3%
Median Home Value ($),"$206,782"
Vacancy Rate (%),4.7%
% Owner-Occupied,35.2%
% Units Built Pre-1950,44.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"19,042"
Population Change (abs),952
Prior Income (CPI-adj $),"$48,741"
"Income Change (%, inflation-adj)",15.8%
Prior Median Rent ($/mo),$944
Rent Change (%),22.5%
