Metric,Value
NSA ID,12
NSA Name,Lucille Park
Total Population,224
Median HH Income ($),"$20,850"
Median Gross Rent ($/mo),"$1,446"
% Renter-Occupied,76.2%
Population Change (%),-8.4%
Pop Density (per km²),825.5
% Age 18–34,14.4%
% Age 35–64,37.0%
% Age 65+,32.5%
% Bachelor's or Higher,16.2%
Avg Household Size,2.6
% Drive Alone,41.4%
% Public Transit,56.2%
% Walk,0.0%
% Work from Home,0.1%
Median Home Value ($),"$77,559"
Vacancy Rate (%),52.4%
% Owner-Occupied,23.8%
% Units Built Pre-1950,4.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,244
Population Change (abs),-20
Prior Income (CPI-adj $),"$36,559"
"Income Change (%, inflation-adj)",-43.0%
Prior Median Rent ($/mo),"$1,099"
Rent Change (%),31.6%
