Metric,Value
NSA ID,130
NSA Name,Gay Street
Total Population,"1,888"
Median HH Income ($),"$50,739"
Median Gross Rent ($/mo),$713
% Renter-Occupied,78.0%
Population Change (%),30.6%
Pop Density (per km²),6660.8
% Age 18–34,29.9%
% Age 35–64,32.2%
% Age 65+,18.7%
% Bachelor's or Higher,15.6%
Avg Household Size,2.6
% Drive Alone,33.1%
% Public Transit,28.9%
% Walk,12.3%
% Work from Home,18.2%
Median Home Value ($),"$178,144"
Vacancy Rate (%),10.6%
% Owner-Occupied,22.0%
% Units Built Pre-1950,21.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,445"
Population Change (abs),442
Prior Income (CPI-adj $),"$22,398"
"Income Change (%, inflation-adj)",126.5%
Prior Median Rent ($/mo),$963
Rent Change (%),-26.0%
