Metric,Value
NSA ID,131
NSA Name,Glen
Total Population,"7,015"
Median HH Income ($),"$53,143"
% HH Income Below $50k,47.1%
% HH Income $50k–$100k,33.8%
% HH Income $100k+,19.1%
Median Gross Rent ($/mo),"$1,117"
% Renter-Occupied,55.5%
Population Change (%),-5.3%
Pop Density (per km²),3624.5
% Age 18–34,15.8%
% Age 35–64,31.8%
% Age 65+,22.9%
% Bachelor's or Higher,31.4%
Avg Household Size,2.4
% Drive Alone,64.7%
% Public Transit,8.9%
% Walk,1.4%
% Work from Home,8.0%
Median Home Value ($),"$230,181"
Vacancy Rate (%),4.4%
% Vacant — For Rent,1.0%
% Vacant — For Sale,0.2%
% Vacant — Other/Distressed,3.2%
% Owner-Occupied,44.5%
% Units Built Pre-1950,44.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"7,407"
Population Change (abs),-392
Pop Change vs City Avg (pp),-758.3%
Prior Income (CPI-adj $),"$47,455"
"Income Change (%, inflation-adj)",12.0%
Income Change vs City Avg (pp),1.7%
Prior Median Rent ($/mo),$981
Rent Change (%),13.8%
Rent Change vs City Avg (pp),-12.1%
Prior Median Home Value ($),156159.80514315737
Home Value Change (%),47.4%
Home Value Change vs City Avg (pp),9.3%
Prior Vacancy Rate (%),11.8%
Vacancy Rate Change (pp),-7.4%
Vacancy Change vs City Avg (pp),-3.2%
Prior % Bachelor's+,29.6%
Education Change (pp),1.8%
Education Change vs City Avg (pp),-1.1%
Market Signals,No strong signals
