Metric,Value
NSA ID,136
NSA Name,Greenmount Cemetery
Total Population,16
Median HH Income ($),"$39,653"
% HH Income Below $50k,60.2%
% HH Income $50k–$100k,16.6%
% HH Income $100k+,23.2%
Median Gross Rent ($/mo),"$1,080"
% Renter-Occupied,72.7%
Population Change (%),186.7%
Pop Density (per km²),57.8
% Age 18–34,22.6%
% Age 35–64,30.6%
% Age 65+,14.7%
% Bachelor's or Higher,11.5%
Avg Household Size,2.3
% Drive Alone,63.0%
% Public Transit,13.6%
% Walk,0.8%
% Work from Home,1.3%
Median Home Value ($),"$102,342"
Vacancy Rate (%),31.3%
% Vacant — For Rent,9.3%
% Vacant — For Sale,0.9%
% Vacant — Other/Distressed,21.1%
% Owner-Occupied,27.3%
% Units Built Pre-1950,21.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,5
Population Change (abs),10
Pop Change vs City Avg (pp),-566.3%
Prior Income (CPI-adj $),"$27,312"
"Income Change (%, inflation-adj)",45.2%
Income Change vs City Avg (pp),34.9%
Prior Median Rent ($/mo),$788
Rent Change (%),37.1%
Rent Change vs City Avg (pp),11.2%
Prior Median Home Value ($),92178.69375572263
Home Value Change (%),11.0%
Home Value Change vs City Avg (pp),-27.1%
Prior Vacancy Rate (%),41.5%
Vacancy Rate Change (pp),-10.2%
Vacancy Change vs City Avg (pp),-6.0%
Prior % Bachelor's+,7.7%
Education Change (pp),3.8%
Education Change vs City Avg (pp),0.9%
Market Signals,Household incomes rising faster than city
