Metric,Value
NSA ID,137
NSA Name,Greenmount West
Total Population,"1,766"
Median HH Income ($),"$64,288"
Median Gross Rent ($/mo),"$1,370"
% Renter-Occupied,54.5%
Population Change (%),5.7%
Pop Density (per km²),6813.1
% Age 18–34,34.6%
% Age 35–64,41.4%
% Age 65+,8.0%
% Bachelor's or Higher,61.7%
Avg Household Size,1.8
% Drive Alone,39.8%
% Public Transit,14.8%
% Walk,2.9%
% Work from Home,39.5%
Median Home Value ($),"$340,398"
Vacancy Rate (%),9.7%
% Owner-Occupied,45.5%
% Units Built Pre-1950,10.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,670"
Population Change (abs),95
Prior Income (CPI-adj $),"$69,519"
"Income Change (%, inflation-adj)",-7.5%
Prior Median Rent ($/mo),"$1,034"
Rent Change (%),32.5%
