Metric,Value
NSA ID,140
NSA Name,Guilford
Total Population,"2,146"
Median HH Income ($),"$200,000"
Median Gross Rent ($/mo),"$2,140"
% Renter-Occupied,9.2%
Population Change (%),-52.8%
Pop Density (per km²),1498.5
% Age 18–34,10.5%
% Age 35–64,44.7%
% Age 65+,25.9%
% Bachelor's or Higher,85.6%
Avg Household Size,2.4
% Drive Alone,49.4%
% Public Transit,1.3%
% Walk,1.4%
% Work from Home,38.8%
Median Home Value ($),"$709,311"
Vacancy Rate (%),7.1%
% Owner-Occupied,90.8%
% Units Built Pre-1950,9.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,543"
Population Change (abs),"-2,397"
Prior Income (CPI-adj $),"$176,100"
"Income Change (%, inflation-adj)",13.6%
Prior Median Rent ($/mo),"$1,796"
Rent Change (%),19.1%
