Metric,Value
NSA ID,143
NSA Name,Hanlon-Longwood
Total Population,"2,330"
Median HH Income ($),"$64,841"
% HH Income Below $50k,31.4%
% HH Income $50k–$100k,39.1%
% HH Income $100k+,29.5%
Median Gross Rent ($/mo),"$1,295"
% Renter-Occupied,38.1%
Population Change (%),80.0%
Pop Density (per km²),2078.5
% Age 18–34,31.0%
% Age 35–64,35.3%
% Age 65+,15.1%
% Bachelor's or Higher,26.5%
Avg Household Size,2.5
% Drive Alone,39.4%
% Public Transit,20.7%
% Walk,0.9%
% Work from Home,1.3%
Median Home Value ($),"$257,713"
Vacancy Rate (%),15.3%
% Vacant — For Rent,3.4%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,11.9%
% Owner-Occupied,61.9%
% Units Built Pre-1950,27.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,294"
Population Change (abs),"1,035"
Pop Change vs City Avg (pp),-673.0%
Prior Income (CPI-adj $),"$32,514"
"Income Change (%, inflation-adj)",99.4%
Income Change vs City Avg (pp),89.1%
Prior Median Rent ($/mo),$920
Rent Change (%),40.7%
Rent Change vs City Avg (pp),14.8%
Prior Median Home Value ($),115613.77754846716
Home Value Change (%),122.9%
Home Value Change vs City Avg (pp),84.8%
Prior Vacancy Rate (%),32.3%
Vacancy Rate Change (pp),-17.0%
Vacancy Change vs City Avg (pp),-12.8%
Prior % Bachelor's+,20.9%
Education Change (pp),5.6%
Education Change vs City Avg (pp),2.7%
Market Signals,Household incomes rising faster than city; Young adult population growing; Gentrification indicators present; Home value appreciation outpacing city
