Metric,Value
NSA ID,146
NSA Name,Heritage Crossing
Total Population,"1,005"
Median HH Income ($),"$32,693"
Median Gross Rent ($/mo),$548
% Renter-Occupied,62.0%
Population Change (%),15.4%
Pop Density (per km²),4523.7
% Age 18–34,25.4%
% Age 35–64,43.1%
% Age 65+,5.4%
% Bachelor's or Higher,12.8%
Avg Household Size,2.3
% Drive Alone,47.2%
% Public Transit,26.9%
% Walk,10.4%
% Work from Home,3.6%
Median Home Value ($),"$164,616"
Vacancy Rate (%),10.5%
% Owner-Occupied,38.0%
% Units Built Pre-1950,14.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,870
Population Change (abs),134
Prior Income (CPI-adj $),"$34,799"
"Income Change (%, inflation-adj)",-6.1%
Prior Median Rent ($/mo),$640
Rent Change (%),-14.4%
