Metric,Value
NSA ID,148
NSA Name,Hillen
Total Population,"2,220"
Median HH Income ($),"$92,909"
Median Gross Rent ($/mo),"$1,445"
% Renter-Occupied,16.0%
Population Change (%),14.8%
Pop Density (per km²),5075.5
% Age 18–34,35.3%
% Age 35–64,32.2%
% Age 65+,16.5%
% Bachelor's or Higher,44.1%
Avg Household Size,2.4
% Drive Alone,50.2%
% Public Transit,6.9%
% Walk,7.6%
% Work from Home,15.3%
Median Home Value ($),"$233,325"
Vacancy Rate (%),4.8%
% Owner-Occupied,84.0%
% Units Built Pre-1950,55.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,934"
Population Change (abs),285
Prior Income (CPI-adj $),"$58,428"
"Income Change (%, inflation-adj)",59.0%
Prior Median Rent ($/mo),"$1,122"
Rent Change (%),28.8%
