Metric,Value
NSA ID,149
NSA Name,Holabird Industrial Park
Total Population,76
Median HH Income ($),"$158,387"
Median Gross Rent ($/mo),"$2,176"
% Renter-Occupied,65.2%
Population Change (%),101.0%
Pop Density (per km²),52.0
% Age 18–34,53.0%
% Age 35–64,21.2%
% Age 65+,0.6%
% Bachelor's or Higher,65.6%
Avg Household Size,2.7
% Drive Alone,63.1%
% Public Transit,4.3%
% Walk,0.0%
% Work from Home,32.5%
Median Home Value ($),"$270,650"
Vacancy Rate (%),42.7%
% Owner-Occupied,34.8%
% Units Built Pre-1950,24.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,37
Population Change (abs),38
Prior Income (CPI-adj $),"$123,927"
"Income Change (%, inflation-adj)",27.8%
Prior Median Rent ($/mo),"$1,203"
Rent Change (%),80.9%
