Metric,Value
NSA ID,14
NSA Name,Moravia-Walther
Total Population,"1,243"
Median HH Income ($),"$58,210"
Median Gross Rent ($/mo),"$1,378"
% Renter-Occupied,19.0%
Population Change (%),22.5%
Pop Density (per km²),3663.5
% Age 18–34,20.6%
% Age 35–64,49.5%
% Age 65+,10.8%
% Bachelor's or Higher,40.1%
Avg Household Size,2.4
% Drive Alone,64.0%
% Public Transit,1.4%
% Walk,1.0%
% Work from Home,23.7%
Median Home Value ($),"$193,459"
Vacancy Rate (%),4.9%
% Owner-Occupied,81.0%
% Units Built Pre-1950,45.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,014"
Population Change (abs),228
Prior Income (CPI-adj $),"$70,415"
"Income Change (%, inflation-adj)",-17.3%
Prior Median Rent ($/mo),"$1,128"
Rent Change (%),22.1%
