Metric,Value
NSA ID,151
NSA Name,Homeland
Total Population,"3,371"
Median HH Income ($),"$200,000"
Median Gross Rent ($/mo),$995
% Renter-Occupied,12.9%
Population Change (%),0.9%
Pop Density (per km²),2114.9
% Age 18–34,8.1%
% Age 35–64,44.1%
% Age 65+,17.8%
% Bachelor's or Higher,83.4%
Avg Household Size,2.9
% Drive Alone,50.6%
% Public Transit,2.5%
% Walk,0.0%
% Work from Home,33.0%
Median Home Value ($),"$639,128"
Vacancy Rate (%),5.4%
% Owner-Occupied,87.1%
% Units Built Pre-1950,30.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,342"
Population Change (abs),28
Prior Income (CPI-adj $),"$225,471"
"Income Change (%, inflation-adj)",-11.3%
Prior Median Rent ($/mo),$941
Rent Change (%),5.7%
