Metric,Value
NSA ID,152
NSA Name,Hopkins Bayview
Total Population,117
Median HH Income ($),"$58,455"
% HH Income Below $50k,34.8%
% HH Income $50k–$100k,41.0%
% HH Income $100k+,24.1%
Median Gross Rent ($/mo),"$1,633"
% Renter-Occupied,62.2%
Population Change (%),-13.9%
Pop Density (per km²),109.3
% Age 18–34,17.5%
% Age 35–64,42.6%
% Age 65+,14.5%
% Bachelor's or Higher,28.0%
Avg Household Size,2.4
% Drive Alone,73.4%
% Public Transit,13.9%
% Walk,4.4%
% Work from Home,2.9%
Median Home Value ($),"$165,139"
Vacancy Rate (%),14.6%
% Vacant — For Rent,2.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,12.6%
% Owner-Occupied,37.8%
% Units Built Pre-1950,43.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,135
Population Change (abs),-18
Pop Change vs City Avg (pp),-766.9%
Prior Income (CPI-adj $),"$65,613"
"Income Change (%, inflation-adj)",-10.9%
Income Change vs City Avg (pp),-21.2%
Prior Median Rent ($/mo),"$1,061"
Rent Change (%),54.0%
Rent Change vs City Avg (pp),28.1%
Prior Median Home Value ($),117372.572900584
Home Value Change (%),40.7%
Home Value Change vs City Avg (pp),2.6%
Prior Vacancy Rate (%),19.8%
Vacancy Rate Change (pp),-5.2%
Vacancy Change vs City Avg (pp),-1.0%
Prior % Bachelor's+,21.4%
Education Change (pp),6.6%
Education Change vs City Avg (pp),3.7%
Market Signals,Affordability stress — rents outpacing incomes
