Metric,Value
NSA ID,153
NSA Name,Howard Park
Total Population,"5,632"
Median HH Income ($),"$59,638"
Median Gross Rent ($/mo),$891
% Renter-Occupied,22.4%
Population Change (%),-2.9%
Pop Density (per km²),2058.4
% Age 18–34,18.4%
% Age 35–64,41.1%
% Age 65+,22.3%
% Bachelor's or Higher,24.7%
Avg Household Size,2.9
% Drive Alone,60.8%
% Public Transit,19.0%
% Walk,0.4%
% Work from Home,8.0%
Median Home Value ($),"$229,623"
Vacancy Rate (%),8.1%
% Owner-Occupied,77.6%
% Units Built Pre-1950,50.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,799"
Population Change (abs),-167
Prior Income (CPI-adj $),"$60,521"
"Income Change (%, inflation-adj)",-1.5%
Prior Median Rent ($/mo),$912
Rent Change (%),-2.3%
