Metric,Value
NSA ID,154
NSA Name,Hunting Ridge
Total Population,"1,101"
Median HH Income ($),"$62,946"
Median Gross Rent ($/mo),"$1,112"
% Renter-Occupied,30.3%
Population Change (%),-20.7%
Pop Density (per km²),1633.9
% Age 18–34,10.5%
% Age 35–64,43.4%
% Age 65+,28.3%
% Bachelor's or Higher,44.9%
Avg Household Size,1.8
% Drive Alone,72.9%
% Public Transit,4.0%
% Walk,0.0%
% Work from Home,14.0%
Median Home Value ($),"$309,708"
Vacancy Rate (%),10.6%
% Owner-Occupied,69.7%
% Units Built Pre-1950,42.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,388"
Population Change (abs),-287
Prior Income (CPI-adj $),"$66,767"
"Income Change (%, inflation-adj)",-5.7%
Prior Median Rent ($/mo),$806
Rent Change (%),37.9%
