Metric,Value
NSA ID,157
NSA Name,Johns Hopkins Homewood
Total Population,710
Median HH Income ($),"$77,399"
% HH Income Below $50k,36.7%
% HH Income $50k–$100k,37.3%
% HH Income $100k+,26.0%
Median Gross Rent ($/mo),"$1,298"
% Renter-Occupied,86.1%
Population Change (%),-29.2%
Pop Density (per km²),1068.1
% Age 18–34,91.9%
% Age 35–64,2.6%
% Age 65+,0.3%
% Bachelor's or Higher,80.7%
Avg Household Size,1.6
% Drive Alone,35.2%
% Public Transit,0.5%
% Walk,41.7%
% Work from Home,22.0%
Median Home Value ($),"$319,531"
Vacancy Rate (%),6.9%
% Vacant — For Rent,3.6%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,3.4%
% Owner-Occupied,13.9%
% Units Built Pre-1950,37.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,003"
Population Change (abs),-293
Pop Change vs City Avg (pp),-782.2%
Prior Income (CPI-adj $),"$54,392"
"Income Change (%, inflation-adj)",42.3%
Income Change vs City Avg (pp),32.0%
Prior Median Rent ($/mo),"$1,239"
Rent Change (%),4.8%
Rent Change vs City Avg (pp),-21.1%
Prior Median Home Value ($),353545.04594310175
Home Value Change (%),-9.6%
Home Value Change vs City Avg (pp),-47.7%
Prior Vacancy Rate (%),8.1%
Vacancy Rate Change (pp),-1.2%
Vacancy Change vs City Avg (pp),3.0%
Prior % Bachelor's+,85.6%
Education Change (pp),-4.9%
Education Change vs City Avg (pp),-7.8%
Market Signals,Household incomes rising faster than city; Significant population loss
