Metric,Value
NSA ID,158
NSA Name,Johnston Square
Total Population,"1,598"
Median HH Income ($),"$22,889"
% HH Income Below $50k,67.3%
% HH Income $50k–$100k,20.2%
% HH Income $100k+,12.5%
Median Gross Rent ($/mo),$385
% Renter-Occupied,66.5%
Population Change (%),13.4%
Pop Density (per km²),3610.9
% Age 18–34,24.3%
% Age 35–64,33.0%
% Age 65+,20.8%
% Bachelor's or Higher,12.3%
Avg Household Size,2.1
% Drive Alone,48.2%
% Public Transit,25.6%
% Walk,0.8%
% Work from Home,1.6%
Median Home Value ($),"$105,040"
Vacancy Rate (%),28.0%
% Vacant — For Rent,4.8%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,23.2%
% Owner-Occupied,33.5%
% Units Built Pre-1950,21.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,408"
Population Change (abs),189
Pop Change vs City Avg (pp),-739.6%
Prior Income (CPI-adj $),"$16,284"
"Income Change (%, inflation-adj)",40.6%
Income Change vs City Avg (pp),30.3%
Prior Median Rent ($/mo),$392
Rent Change (%),-1.8%
Rent Change vs City Avg (pp),-27.7%
Prior Median Home Value ($),91595.44457927294
Home Value Change (%),14.7%
Home Value Change vs City Avg (pp),-23.4%
Prior Vacancy Rate (%),19.8%
Vacancy Rate Change (pp),8.2%
Vacancy Change vs City Avg (pp),12.4%
Prior % Bachelor's+,7.8%
Education Change (pp),4.5%
Education Change vs City Avg (pp),1.6%
Market Signals,Household incomes rising faster than city; Vacancy distress — disinvestment risk
