Metric,Value
NSA ID,15
NSA Name,Morgan Park
Total Population,519
Median HH Income ($),"$138,333"
Median Gross Rent ($/mo),"$1,746"
% Renter-Occupied,9.0%
Population Change (%),54.1%
Pop Density (per km²),2756.4
% Age 18–34,18.3%
% Age 35–64,47.9%
% Age 65+,10.7%
% Bachelor's or Higher,57.9%
Avg Household Size,3.2
% Drive Alone,44.4%
% Public Transit,0.1%
% Walk,8.5%
% Work from Home,24.0%
Median Home Value ($),"$275,052"
Vacancy Rate (%),0.2%
% Owner-Occupied,91.0%
% Units Built Pre-1950,16.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,336
Population Change (abs),182
Prior Income (CPI-adj $),"$69,475"
"Income Change (%, inflation-adj)",99.1%
Prior Median Rent ($/mo),"$1,375"
Rent Change (%),27.0%
