Metric,Value
NSA ID,164
NSA Name,Lake Walker
Total Population,"1,788"
Median HH Income ($),"$66,014"
Median Gross Rent ($/mo),$939
% Renter-Occupied,60.2%
Population Change (%),-24.9%
Pop Density (per km²),3397.6
% Age 18–34,28.1%
% Age 35–64,43.2%
% Age 65+,18.2%
% Bachelor's or Higher,47.6%
Avg Household Size,1.7
% Drive Alone,50.0%
% Public Transit,14.0%
% Walk,1.4%
% Work from Home,29.3%
Median Home Value ($),"$271,662"
Vacancy Rate (%),5.4%
% Owner-Occupied,39.8%
% Units Built Pre-1950,32.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,381"
Population Change (abs),-593
Prior Income (CPI-adj $),"$73,562"
"Income Change (%, inflation-adj)",-10.3%
Prior Median Rent ($/mo),"$1,035"
Rent Change (%),-9.2%
