Metric,Value
NSA ID,167
NSA Name,Lauraville
Total Population,"3,977"
Median HH Income ($),"$96,192"
% HH Income Below $50k,25.1%
% HH Income $50k–$100k,27.4%
% HH Income $100k+,47.4%
Median Gross Rent ($/mo),"$1,024"
% Renter-Occupied,15.8%
Population Change (%),-1.4%
Pop Density (per km²),2597.4
% Age 18–34,14.4%
% Age 35–64,47.1%
% Age 65+,18.2%
% Bachelor's or Higher,46.5%
Avg Household Size,2.3
% Drive Alone,62.1%
% Public Transit,5.0%
% Walk,2.9%
% Work from Home,21.8%
Median Home Value ($),"$282,129"
Vacancy Rate (%),4.0%
% Vacant — For Rent,2.5%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,1.5%
% Owner-Occupied,84.2%
% Units Built Pre-1950,28.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,035"
Population Change (abs),-58
Pop Change vs City Avg (pp),-754.4%
Prior Income (CPI-adj $),"$81,294"
"Income Change (%, inflation-adj)",18.3%
Income Change vs City Avg (pp),8.0%
Prior Median Rent ($/mo),"$1,156"
Rent Change (%),-11.4%
Rent Change vs City Avg (pp),-37.3%
Prior Median Home Value ($),186725.069054403
Home Value Change (%),51.1%
Home Value Change vs City Avg (pp),13.0%
Prior Vacancy Rate (%),10.3%
Vacancy Rate Change (pp),-6.3%
Vacancy Change vs City Avg (pp),-2.1%
Prior % Bachelor's+,38.4%
Education Change (pp),8.1%
Education Change vs City Avg (pp),5.2%
Market Signals,No strong signals
