Metric,Value
NSA ID,168
NSA Name,Levindale
Total Population,"1,086"
Median HH Income ($),"$29,326"
Median Gross Rent ($/mo),$558
% Renter-Occupied,49.3%
Population Change (%),-13.4%
Pop Density (per km²),2742.0
% Age 18–34,12.6%
% Age 35–64,32.1%
% Age 65+,46.6%
% Bachelor's or Higher,13.7%
Avg Household Size,2.0
% Drive Alone,61.4%
% Public Transit,3.2%
% Walk,19.2%
% Work from Home,0.0%
Median Home Value ($),"$128,596"
Vacancy Rate (%),22.0%
% Owner-Occupied,50.7%
% Units Built Pre-1950,61.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,253"
Population Change (abs),-167
Prior Income (CPI-adj $),"$21,295"
"Income Change (%, inflation-adj)",37.7%
Prior Median Rent ($/mo),$373
Rent Change (%),49.5%
