Metric,Value
NSA ID,16
NSA Name,Mount Holly
Total Population,"1,063"
Median HH Income ($),"$46,268"
Median Gross Rent ($/mo),"$1,280"
% Renter-Occupied,47.1%
Population Change (%),12.6%
Pop Density (per km²),3311.2
% Age 18–34,29.0%
% Age 35–64,25.5%
% Age 65+,18.2%
% Bachelor's or Higher,23.0%
Avg Household Size,2.2
% Drive Alone,53.0%
% Public Transit,4.9%
% Walk,0.0%
% Work from Home,20.0%
Median Home Value ($),"$153,395"
Vacancy Rate (%),31.9%
% Owner-Occupied,52.9%
% Units Built Pre-1950,34.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,943
Population Change (abs),119
Prior Income (CPI-adj $),"$40,047"
"Income Change (%, inflation-adj)",15.5%
Prior Median Rent ($/mo),$895
Rent Change (%),43.0%
