Metric,Value
NSA ID,171
NSA Name,Loch Raven
Total Population,"6,078"
Median HH Income ($),"$58,359"
Median Gross Rent ($/mo),"$1,211"
% Renter-Occupied,54.6%
Population Change (%),-8.6%
Pop Density (per km²),4112.0
% Age 18–34,25.3%
% Age 35–64,32.6%
% Age 65+,20.3%
% Bachelor's or Higher,23.7%
Avg Household Size,2.2
% Drive Alone,62.1%
% Public Transit,2.7%
% Walk,2.0%
% Work from Home,19.3%
Median Home Value ($),"$189,125"
Vacancy Rate (%),5.4%
% Owner-Occupied,45.4%
% Units Built Pre-1950,53.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"6,651"
Population Change (abs),-573
Prior Income (CPI-adj $),"$59,162"
"Income Change (%, inflation-adj)",-1.4%
Prior Median Rent ($/mo),"$1,145"
Rent Change (%),5.8%
