Metric,Value
NSA ID,172
NSA Name,Lower Herring Run Park
Total Population,3
Median HH Income ($),"$40,511"
Median Gross Rent ($/mo),"$1,051"
% Renter-Occupied,47.6%
Population Change (%),-68.1%
Pop Density (per km²),13.3
% Age 18–34,27.9%
% Age 35–64,50.9%
% Age 65+,13.8%
% Bachelor's or Higher,6.4%
Avg Household Size,1.6
% Drive Alone,41.4%
% Public Transit,43.8%
% Walk,0.0%
% Work from Home,0.5%
Median Home Value ($),"$137,482"
Vacancy Rate (%),7.2%
% Owner-Occupied,52.4%
% Units Built Pre-1950,64.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,9
Population Change (abs),-6
Prior Income (CPI-adj $),"$51,818"
"Income Change (%, inflation-adj)",-21.8%
Prior Median Rent ($/mo),"$1,137"
Rent Change (%),-7.6%
