Metric,Value
NSA ID,175
NSA Name,Madison-Eastend
Total Population,"2,639"
Median HH Income ($),"$56,722"
Median Gross Rent ($/mo),"$1,385"
% Renter-Occupied,45.5%
Population Change (%),32.1%
Pop Density (per km²),9451.4
% Age 18–34,17.5%
% Age 35–64,34.1%
% Age 65+,11.3%
% Bachelor's or Higher,10.1%
Avg Household Size,3.5
% Drive Alone,46.6%
% Public Transit,25.5%
% Walk,17.7%
% Work from Home,5.6%
Median Home Value ($),"$116,525"
Vacancy Rate (%),30.9%
% Owner-Occupied,54.5%
% Units Built Pre-1950,23.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,998"
Population Change (abs),640
Prior Income (CPI-adj $),"$47,295"
"Income Change (%, inflation-adj)",19.9%
Prior Median Rent ($/mo),"$1,166"
Rent Change (%),18.7%
