Metric,Value
NSA ID,17
NSA Name,Mt Pleasant Park
Total Population,83
Median HH Income ($),"$47,365"
% HH Income Below $50k,53.0%
% HH Income $50k–$100k,43.0%
% HH Income $100k+,4.0%
Median Gross Rent ($/mo),"$1,196"
% Renter-Occupied,93.5%
Population Change (%),-15.6%
Pop Density (per km²),126.6
% Age 18–34,29.3%
% Age 35–64,23.2%
% Age 65+,37.1%
% Bachelor's or Higher,34.0%
Avg Household Size,1.4
% Drive Alone,53.3%
% Public Transit,3.6%
% Walk,0.2%
% Work from Home,37.9%
Median Home Value ($),"$222,275"
Vacancy Rate (%),4.2%
% Vacant — For Rent,4.0%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,0.2%
% Owner-Occupied,6.5%
% Units Built Pre-1950,31.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,98
Population Change (abs),-15
Pop Change vs City Avg (pp),-768.6%
Prior Income (CPI-adj $),"$54,120"
"Income Change (%, inflation-adj)",-12.5%
Income Change vs City Avg (pp),-22.8%
Prior Median Rent ($/mo),"$1,204"
Rent Change (%),-0.6%
Rent Change vs City Avg (pp),-26.5%
Prior Median Home Value ($),139412.59138455335
Home Value Change (%),59.4%
Home Value Change vs City Avg (pp),21.3%
Prior Vacancy Rate (%),6.2%
Vacancy Rate Change (pp),-2.0%
Vacancy Change vs City Avg (pp),2.2%
Prior % Bachelor's+,32.1%
Education Change (pp),1.9%
Education Change vs City Avg (pp),-1.0%
Market Signals,Home value appreciation outpacing city; Significant population loss
