Metric,Value
NSA ID,180
NSA Name,Mid-Govans
Total Population,"1,615"
Median HH Income ($),"$74,984"
Median Gross Rent ($/mo),"$1,441"
% Renter-Occupied,38.4%
Population Change (%),32.4%
Pop Density (per km²),4841.2
% Age 18–34,28.2%
% Age 35–64,40.2%
% Age 65+,8.3%
% Bachelor's or Higher,24.4%
Avg Household Size,2.8
% Drive Alone,52.6%
% Public Transit,5.0%
% Walk,2.1%
% Work from Home,6.0%
Median Home Value ($),"$163,336"
Vacancy Rate (%),9.1%
% Owner-Occupied,61.6%
% Units Built Pre-1950,61.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,219"
Population Change (abs),395
Prior Income (CPI-adj $),"$44,579"
"Income Change (%, inflation-adj)",68.2%
Prior Median Rent ($/mo),$875
Rent Change (%),64.6%
