Metric,Value
NSA ID,182
NSA Name,Middle East
Total Population,"1,704"
Median HH Income ($),"$36,486"
Median Gross Rent ($/mo),"$1,131"
% Renter-Occupied,80.6%
Population Change (%),62.0%
Pop Density (per km²),3326.7
% Age 18–34,38.7%
% Age 35–64,31.2%
% Age 65+,15.6%
% Bachelor's or Higher,37.4%
Avg Household Size,1.8
% Drive Alone,34.3%
% Public Transit,13.2%
% Walk,32.3%
% Work from Home,14.5%
Median Home Value ($),"$303,363"
Vacancy Rate (%),10.5%
% Owner-Occupied,19.4%
% Units Built Pre-1950,8.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,051"
Population Change (abs),652
Prior Income (CPI-adj $),"$23,398"
"Income Change (%, inflation-adj)",55.9%
Prior Median Rent ($/mo),"$1,002"
Rent Change (%),12.8%
