Metric,Value
NSA ID,186
NSA Name,Montebello
Total Population,71
Median HH Income ($),"$105,343"
Median Gross Rent ($/mo),"$2,530"
% Renter-Occupied,12.9%
Population Change (%),21.7%
Pop Density (per km²),58.6
% Age 18–34,5.9%
% Age 35–64,47.5%
% Age 65+,27.8%
% Bachelor's or Higher,47.7%
Avg Household Size,2.4
% Drive Alone,50.4%
% Public Transit,5.6%
% Walk,0.3%
% Work from Home,16.5%
Median Home Value ($),"$261,233"
Vacancy Rate (%),1.1%
% Owner-Occupied,87.1%
% Units Built Pre-1950,32.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,58
Population Change (abs),12
Prior Income (CPI-adj $),"$80,936"
"Income Change (%, inflation-adj)",30.2%
Prior Median Rent ($/mo),"$1,538"
Rent Change (%),64.4%
