Metric,Value
NSA ID,187
NSA Name,Morgan State University
Total Population,"1,621"
Median HH Income ($),"$74,133"
Median Gross Rent ($/mo),"$1,126"
% Renter-Occupied,11.6%
Population Change (%),7.8%
Pop Density (per km²),2376.0
% Age 18–34,59.7%
% Age 35–64,18.3%
% Age 65+,9.8%
% Bachelor's or Higher,29.7%
Avg Household Size,2.5
% Drive Alone,54.5%
% Public Transit,9.0%
% Walk,15.5%
% Work from Home,14.0%
Median Home Value ($),"$204,606"
Vacancy Rate (%),8.9%
% Owner-Occupied,88.4%
% Units Built Pre-1950,79.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,504"
Population Change (abs),116
Prior Income (CPI-adj $),"$54,042"
"Income Change (%, inflation-adj)",37.2%
Prior Median Rent ($/mo),"$1,162"
Rent Change (%),-3.1%
