Metric,Value
NSA ID,188
NSA Name,Morrell Park
Total Population,"3,567"
Median HH Income ($),"$49,716"
Median Gross Rent ($/mo),"$1,322"
% Renter-Occupied,41.2%
Population Change (%),-9.8%
Pop Density (per km²),1651.4
% Age 18–34,11.9%
% Age 35–64,41.7%
% Age 65+,14.4%
% Bachelor's or Higher,18.6%
Avg Household Size,2.6
% Drive Alone,65.8%
% Public Transit,5.4%
% Walk,0.0%
% Work from Home,4.8%
Median Home Value ($),"$119,164"
Vacancy Rate (%),18.2%
% Owner-Occupied,58.8%
% Units Built Pre-1950,41.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,955"
Population Change (abs),-388
Prior Income (CPI-adj $),"$54,850"
"Income Change (%, inflation-adj)",-9.4%
Prior Median Rent ($/mo),"$1,025"
Rent Change (%),29.0%
