Metric,Value
NSA ID,189
NSA Name,Mosher
Total Population,"1,337"
Median HH Income ($),"$35,840"
Median Gross Rent ($/mo),"$1,293"
% Renter-Occupied,76.0%
Population Change (%),-1.3%
Pop Density (per km²),4479.0
% Age 18–34,26.1%
% Age 35–64,39.0%
% Age 65+,15.0%
% Bachelor's or Higher,11.6%
Avg Household Size,1.9
% Drive Alone,28.8%
% Public Transit,30.7%
% Walk,0.0%
% Work from Home,34.0%
Median Home Value ($),"$68,717"
Vacancy Rate (%),24.1%
% Owner-Occupied,24.0%
% Units Built Pre-1950,19.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,354"
Population Change (abs),-17
Prior Income (CPI-adj $),"$39,051"
"Income Change (%, inflation-adj)",-8.2%
Prior Median Rent ($/mo),$783
Rent Change (%),65.2%
