Metric,Value
NSA ID,190
NSA Name,Mount Clare
Total Population,"1,572"
Median HH Income ($),"$52,164"
Median Gross Rent ($/mo),"$1,152"
% Renter-Occupied,70.9%
Population Change (%),3.8%
Pop Density (per km²),5307.1
% Age 18–34,22.1%
% Age 35–64,36.6%
% Age 65+,16.7%
% Bachelor's or Higher,20.0%
Avg Household Size,2.6
% Drive Alone,36.9%
% Public Transit,18.8%
% Walk,4.7%
% Work from Home,9.7%
Median Home Value ($),"$119,113"
Vacancy Rate (%),39.0%
% Owner-Occupied,29.1%
% Units Built Pre-1950,18.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,515"
Population Change (abs),56
Prior Income (CPI-adj $),"$34,571"
"Income Change (%, inflation-adj)",50.9%
Prior Median Rent ($/mo),$917
Rent Change (%),25.6%
