Metric,Value
NSA ID,191
NSA Name,Mount Vernon
Total Population,"4,594"
Median HH Income ($),"$49,827"
Median Gross Rent ($/mo),"$1,310"
% Renter-Occupied,87.6%
Population Change (%),-29.7%
Pop Density (per km²),7824.0
% Age 18–34,44.4%
% Age 35–64,32.7%
% Age 65+,19.4%
% Bachelor's or Higher,60.9%
Avg Household Size,1.2
% Drive Alone,40.6%
% Public Transit,8.8%
% Walk,28.4%
% Work from Home,20.2%
Median Home Value ($),"$221,188"
Vacancy Rate (%),9.7%
% Owner-Occupied,12.4%
% Units Built Pre-1950,17.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"6,535"
Population Change (abs),"-1,941"
Prior Income (CPI-adj $),"$58,907"
"Income Change (%, inflation-adj)",-15.4%
Prior Median Rent ($/mo),"$1,129"
Rent Change (%),16.1%
