Metric,Value
NSA ID,192
NSA Name,Mount Washington
Total Population,"4,234"
Median HH Income ($),"$134,896"
% HH Income Below $50k,20.8%
% HH Income $50k–$100k,13.7%
% HH Income $100k+,65.5%
Median Gross Rent ($/mo),"$1,422"
% Renter-Occupied,20.3%
Population Change (%),39.8%
Pop Density (per km²),1316.9
% Age 18–34,10.1%
% Age 35–64,42.5%
% Age 65+,19.5%
% Bachelor's or Higher,71.6%
Avg Household Size,2.8
% Drive Alone,59.7%
% Public Transit,3.1%
% Walk,3.2%
% Work from Home,28.4%
Median Home Value ($),"$452,282"
Vacancy Rate (%),9.4%
% Vacant — For Rent,1.5%
% Vacant — For Sale,2.9%
% Vacant — Other/Distressed,5.0%
% Owner-Occupied,79.7%
% Units Built Pre-1950,28.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,027"
Population Change (abs),"1,206"
Pop Change vs City Avg (pp),-713.2%
Prior Income (CPI-adj $),"$133,712"
"Income Change (%, inflation-adj)",0.9%
Income Change vs City Avg (pp),-9.4%
Prior Median Rent ($/mo),"$1,136"
Rent Change (%),25.2%
Rent Change vs City Avg (pp),-0.7%
Prior Median Home Value ($),313976.034182546
Home Value Change (%),44.0%
Home Value Change vs City Avg (pp),5.9%
Prior Vacancy Rate (%),10.5%
Vacancy Rate Change (pp),-1.1%
Vacancy Change vs City Avg (pp),3.1%
Prior % Bachelor's+,73.3%
Education Change (pp),-1.7%
Education Change vs City Avg (pp),-4.6%
Market Signals,Affordability stress — rents outpacing incomes
