Metric,Value
NSA ID,193
NSA Name,Mount Winans
Total Population,628
Median HH Income ($),"$27,482"
% HH Income Below $50k,83.4%
% HH Income $50k–$100k,9.9%
% HH Income $100k+,6.7%
Median Gross Rent ($/mo),$692
% Renter-Occupied,75.7%
Population Change (%),-23.4%
Pop Density (per km²),2852.4
% Age 18–34,24.4%
% Age 35–64,27.3%
% Age 65+,7.5%
% Bachelor's or Higher,2.3%
Avg Household Size,2.5
% Drive Alone,63.7%
% Public Transit,5.0%
% Walk,0.0%
% Work from Home,0.0%
Median Home Value ($),"$86,482"
Vacancy Rate (%),8.6%
% Vacant — For Rent,0.0%
% Vacant — For Sale,2.4%
% Vacant — Other/Distressed,6.1%
% Owner-Occupied,24.3%
% Units Built Pre-1950,29.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,820
Population Change (abs),-192
Pop Change vs City Avg (pp),-776.4%
Prior Income (CPI-adj $),"$21,381"
"Income Change (%, inflation-adj)",28.5%
Income Change vs City Avg (pp),18.2%
Prior Median Rent ($/mo),$295
Rent Change (%),134.4%
Rent Change vs City Avg (pp),108.5%
Prior Median Home Value ($),100844.32306665444
Home Value Change (%),-14.2%
Home Value Change vs City Avg (pp),-52.3%
Prior Vacancy Rate (%),11.3%
Vacancy Rate Change (pp),-2.7%
Vacancy Change vs City Avg (pp),1.5%
Prior % Bachelor's+,2.9%
Education Change (pp),-0.6%
Education Change vs City Avg (pp),-3.5%
Market Signals,Renter demand rising; Household incomes rising faster than city; Affordability stress — rents outpacing incomes; Significant population loss
