Metric,Value
NSA ID,195
NSA Name,North Harford Road
Total Population,"5,998"
Median HH Income ($),"$95,684"
% HH Income Below $50k,23.9%
% HH Income $50k–$100k,28.4%
% HH Income $100k+,47.7%
Median Gross Rent ($/mo),"$1,499"
% Renter-Occupied,16.4%
Population Change (%),12.9%
Pop Density (per km²),3617.2
% Age 18–34,17.6%
% Age 35–64,45.5%
% Age 65+,13.9%
% Bachelor's or Higher,36.8%
Avg Household Size,2.4
% Drive Alone,62.7%
% Public Transit,1.8%
% Walk,0.5%
% Work from Home,17.7%
Median Home Value ($),"$227,538"
Vacancy Rate (%),6.2%
% Vacant — For Rent,1.8%
% Vacant — For Sale,1.9%
% Vacant — Other/Distressed,2.5%
% Owner-Occupied,83.6%
% Units Built Pre-1950,33.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,312"
Population Change (abs),685
Pop Change vs City Avg (pp),-740.1%
Prior Income (CPI-adj $),"$75,176"
"Income Change (%, inflation-adj)",27.3%
Income Change vs City Avg (pp),17.0%
Prior Median Rent ($/mo),$952
Rent Change (%),57.5%
Rent Change vs City Avg (pp),31.6%
Prior Median Home Value ($),173293.9189139142
Home Value Change (%),31.3%
Home Value Change vs City Avg (pp),-6.8%
Prior Vacancy Rate (%),11.1%
Vacancy Rate Change (pp),-4.9%
Vacancy Change vs City Avg (pp),-0.7%
Prior % Bachelor's+,28.5%
Education Change (pp),8.3%
Education Change vs City Avg (pp),5.4%
Market Signals,Renter demand rising; Household incomes rising faster than city; Affordability stress — rents outpacing incomes; Gentrification indicators present
