Metric,Value
NSA ID,196
NSA Name,North Roland Park/Poplar Hill
Total Population,"1,356"
Median HH Income ($),"$106,056"
% HH Income Below $50k,27.6%
% HH Income $50k–$100k,19.6%
% HH Income $100k+,52.9%
Median Gross Rent ($/mo),"$1,829"
% Renter-Occupied,41.6%
Population Change (%),14.0%
Pop Density (per km²),853.5
% Age 18–34,22.5%
% Age 35–64,44.8%
% Age 65+,16.7%
% Bachelor's or Higher,69.0%
Avg Household Size,2.2
% Drive Alone,62.3%
% Public Transit,2.8%
% Walk,1.4%
% Work from Home,23.8%
Median Home Value ($),"$647,041"
Vacancy Rate (%),3.9%
% Vacant — For Rent,0.0%
% Vacant — For Sale,3.8%
% Vacant — Other/Distressed,0.1%
% Owner-Occupied,58.4%
% Units Built Pre-1950,41.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,189"
Population Change (abs),166
Pop Change vs City Avg (pp),-739.0%
Prior Income (CPI-adj $),"$170,413"
"Income Change (%, inflation-adj)",-37.8%
Income Change vs City Avg (pp),-48.1%
Prior Median Rent ($/mo),"$1,377"
Rent Change (%),32.8%
Rent Change vs City Avg (pp),6.9%
Prior Median Home Value ($),552351.2889108786
Home Value Change (%),17.1%
Home Value Change vs City Avg (pp),-21.0%
Prior Vacancy Rate (%),9.7%
Vacancy Rate Change (pp),-5.8%
Vacancy Change vs City Avg (pp),-1.6%
Prior % Bachelor's+,84.0%
Education Change (pp),-15.0%
Education Change vs City Avg (pp),-17.9%
Market Signals,Renter demand rising; Affordability stress — rents outpacing incomes
