Metric,Value
NSA ID,197
NSA Name,Northwest Community Action
Total Population,"1,459"
Median HH Income ($),"$49,356"
Median Gross Rent ($/mo),"$1,167"
% Renter-Occupied,68.4%
Population Change (%),34.3%
Pop Density (per km²),4815.5
% Age 18–34,34.7%
% Age 35–64,36.1%
% Age 65+,13.7%
% Bachelor's or Higher,5.9%
Avg Household Size,2.3
% Drive Alone,40.3%
% Public Transit,29.0%
% Walk,6.6%
% Work from Home,4.1%
Median Home Value ($),"$83,207"
Vacancy Rate (%),30.4%
% Owner-Occupied,31.6%
% Units Built Pre-1950,15.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,086"
Population Change (abs),372
Prior Income (CPI-adj $),"$26,621"
"Income Change (%, inflation-adj)",85.4%
Prior Median Rent ($/mo),$872
Rent Change (%),33.9%
