Metric,Value
NSA ID,19
NSA Name,Oaklee
Total Population,532
Median HH Income ($),"$44,136"
Median Gross Rent ($/mo),"$1,214"
% Renter-Occupied,59.9%
Population Change (%),9.3%
Pop Density (per km²),5048.7
% Age 18–34,39.8%
% Age 35–64,20.9%
% Age 65+,30.5%
% Bachelor's or Higher,26.4%
Avg Household Size,1.8
% Drive Alone,56.5%
% Public Transit,22.5%
% Walk,0.0%
% Work from Home,7.5%
Median Home Value ($),"$170,089"
Vacancy Rate (%),8.5%
% Owner-Occupied,40.1%
% Units Built Pre-1950,36.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,486
Population Change (abs),45
Prior Income (CPI-adj $),"$45,082"
"Income Change (%, inflation-adj)",-2.1%
Prior Median Rent ($/mo),"$1,020"
Rent Change (%),19.0%
