Metric,Value
NSA ID,201
NSA Name,Orangeville
Total Population,144
Median HH Income ($),"$51,380"
Median Gross Rent ($/mo),"$1,388"
% Renter-Occupied,43.2%
Population Change (%),-33.5%
Pop Density (per km²),150.2
% Age 18–34,32.8%
% Age 35–64,34.2%
% Age 65+,17.9%
% Bachelor's or Higher,9.2%
Avg Household Size,2.7
% Drive Alone,47.2%
% Public Transit,1.1%
% Walk,0.0%
% Work from Home,1.1%
Median Home Value ($),"$182,264"
Vacancy Rate (%),28.0%
% Owner-Occupied,56.8%
% Units Built Pre-1950,23.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,216
Population Change (abs),-72
Prior Income (CPI-adj $),"$63,728"
"Income Change (%, inflation-adj)",-19.4%
Prior Median Rent ($/mo),"$1,491"
Rent Change (%),-6.9%
