Metric,Value
NSA ID,203
NSA Name,Overlea
Total Population,727
Median HH Income ($),"$84,751"
% HH Income Below $50k,33.8%
% HH Income $50k–$100k,28.4%
% HH Income $100k+,37.7%
Median Gross Rent ($/mo),"$1,674"
% Renter-Occupied,26.9%
Population Change (%),15.9%
Pop Density (per km²),922.7
% Age 18–34,22.5%
% Age 35–64,40.7%
% Age 65+,18.7%
% Bachelor's or Higher,24.8%
Avg Household Size,2.3
% Drive Alone,72.5%
% Public Transit,1.8%
% Walk,0.0%
% Work from Home,16.8%
Median Home Value ($),"$240,631"
Vacancy Rate (%),5.7%
% Vacant — For Rent,3.3%
% Vacant — For Sale,1.0%
% Vacant — Other/Distressed,1.5%
% Owner-Occupied,73.1%
% Units Built Pre-1950,39.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,627
Population Change (abs),99
Pop Change vs City Avg (pp),-737.1%
Prior Income (CPI-adj $),"$67,028"
"Income Change (%, inflation-adj)",26.4%
Income Change vs City Avg (pp),16.1%
Prior Median Rent ($/mo),"$1,029"
Rent Change (%),62.7%
Rent Change vs City Avg (pp),36.8%
Prior Median Home Value ($),176918.56278640567
Home Value Change (%),36.0%
Home Value Change vs City Avg (pp),-2.1%
Prior Vacancy Rate (%),9.9%
Vacancy Rate Change (pp),-4.2%
Vacancy Change vs City Avg (pp),0.0%
Prior % Bachelor's+,28.0%
Education Change (pp),-3.2%
Education Change vs City Avg (pp),-6.1%
Market Signals,Renter demand rising; Household incomes rising faster than city; Affordability stress — rents outpacing incomes
