Metric,Value
NSA ID,208
NSA Name,Patterson Place
Total Population,887
Median HH Income ($),"$91,383"
% HH Income Below $50k,30.1%
% HH Income $50k–$100k,23.9%
% HH Income $100k+,46.0%
Median Gross Rent ($/mo),"$1,778"
% Renter-Occupied,51.7%
Population Change (%),-4.5%
Pop Density (per km²),9011.9
% Age 18–34,37.7%
% Age 35–64,32.3%
% Age 65+,7.6%
% Bachelor's or Higher,62.4%
Avg Household Size,2.1
% Drive Alone,50.7%
% Public Transit,4.0%
% Walk,10.9%
% Work from Home,23.6%
Median Home Value ($),"$290,790"
Vacancy Rate (%),21.4%
% Vacant — For Rent,3.8%
% Vacant — For Sale,3.8%
% Vacant — Other/Distressed,13.8%
% Owner-Occupied,48.3%
% Units Built Pre-1950,7.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,928
Population Change (abs),-41
Pop Change vs City Avg (pp),-757.5%
Prior Income (CPI-adj $),"$111,112"
"Income Change (%, inflation-adj)",-17.8%
Income Change vs City Avg (pp),-28.1%
Prior Median Rent ($/mo),"$1,480"
Rent Change (%),20.1%
Rent Change vs City Avg (pp),-5.8%
Prior Median Home Value ($),206973.32786221977
Home Value Change (%),40.5%
Home Value Change vs City Avg (pp),2.4%
Prior Vacancy Rate (%),14.1%
Vacancy Rate Change (pp),7.3%
Vacancy Change vs City Avg (pp),11.5%
Prior % Bachelor's+,61.1%
Education Change (pp),1.3%
Education Change vs City Avg (pp),-1.6%
Market Signals,Affordability stress — rents outpacing incomes; Vacancy distress — disinvestment risk
