Metric,Value
NSA ID,20
NSA Name,Orangeville Industrial Area
Total Population,31
Median HH Income ($),"$52,888"
% HH Income Below $50k,46.6%
% HH Income $50k–$100k,30.7%
% HH Income $100k+,22.6%
Median Gross Rent ($/mo),"$1,279"
% Renter-Occupied,62.9%
Population Change (%),-5.0%
Pop Density (per km²),26.9
% Age 18–34,32.4%
% Age 35–64,42.2%
% Age 65+,11.7%
% Bachelor's or Higher,9.5%
Avg Household Size,2.1
% Drive Alone,57.2%
% Public Transit,13.6%
% Walk,0.6%
% Work from Home,0.5%
Median Home Value ($),"$201,852"
Vacancy Rate (%),17.0%
% Vacant — For Rent,1.3%
% Vacant — For Sale,0.0%
% Vacant — Other/Distressed,15.7%
% Owner-Occupied,37.1%
% Units Built Pre-1950,10.6%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,32
Population Change (abs),-1
Pop Change vs City Avg (pp),-758.0%
Prior Income (CPI-adj $),"$40,164"
"Income Change (%, inflation-adj)",31.7%
Income Change vs City Avg (pp),21.4%
Prior Median Rent ($/mo),"$1,200"
Rent Change (%),6.6%
Rent Change vs City Avg (pp),-19.3%
Prior Median Home Value ($),81261.92380605567
Home Value Change (%),148.4%
Home Value Change vs City Avg (pp),110.3%
Prior Vacancy Rate (%),19.4%
Vacancy Rate Change (pp),-2.4%
Vacancy Change vs City Avg (pp),1.8%
Prior % Bachelor's+,12.5%
Education Change (pp),-3.0%
Education Change vs City Avg (pp),-5.9%
Market Signals,Household incomes rising faster than city; Home value appreciation outpacing city
