Metric,Value
NSA ID,211
NSA Name,Penrose/Fayette Street Outreach
Total Population,"2,054"
Median HH Income ($),"$33,905"
% HH Income Below $50k,63.3%
% HH Income $50k–$100k,19.6%
% HH Income $100k+,17.2%
Median Gross Rent ($/mo),"$1,088"
% Renter-Occupied,62.8%
Population Change (%),3.0%
Pop Density (per km²),2130.3
% Age 18–34,16.5%
% Age 35–64,39.4%
% Age 65+,24.6%
% Bachelor's or Higher,5.2%
Avg Household Size,2.4
% Drive Alone,65.6%
% Public Transit,15.0%
% Walk,0.8%
% Work from Home,12.3%
Median Home Value ($),"$57,566"
Vacancy Rate (%),45.3%
% Vacant — For Rent,3.1%
% Vacant — For Sale,3.9%
% Vacant — Other/Distressed,38.3%
% Owner-Occupied,37.2%
% Units Built Pre-1950,21.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,994"
Population Change (abs),59
Pop Change vs City Avg (pp),-750.0%
Prior Income (CPI-adj $),"$32,356"
"Income Change (%, inflation-adj)",4.8%
Income Change vs City Avg (pp),-5.5%
Prior Median Rent ($/mo),"$1,096"
Rent Change (%),-0.7%
Rent Change vs City Avg (pp),-26.6%
Prior Median Home Value ($),62276.670143847856
Home Value Change (%),-7.6%
Home Value Change vs City Avg (pp),-45.7%
Prior Vacancy Rate (%),39.0%
Vacancy Rate Change (pp),6.3%
Vacancy Change vs City Avg (pp),10.5%
Prior % Bachelor's+,5.8%
Education Change (pp),-0.6%
Education Change vs City Avg (pp),-3.5%
Market Signals,Vacancy distress — disinvestment risk
