Metric,Value
NSA ID,213
NSA Name,Perring Loch
Total Population,"2,642"
Median HH Income ($),"$93,121"
Median Gross Rent ($/mo),"$2,144"
% Renter-Occupied,12.6%
Population Change (%),-8.6%
Pop Density (per km²),4666.6
% Age 18–34,23.5%
% Age 35–64,31.4%
% Age 65+,21.1%
% Bachelor's or Higher,43.6%
Avg Household Size,2.6
% Drive Alone,68.4%
% Public Transit,4.7%
% Walk,4.1%
% Work from Home,9.8%
Median Home Value ($),"$191,435"
Vacancy Rate (%),10.7%
% Owner-Occupied,87.4%
% Units Built Pre-1950,72.3%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,889"
Population Change (abs),-247
Prior Income (CPI-adj $),"$63,356"
"Income Change (%, inflation-adj)",47.0%
Prior Median Rent ($/mo),"$1,421"
Rent Change (%),50.8%
