Metric,Value
NSA ID,214
NSA Name,Poppleton
Total Population,"3,511"
Median HH Income ($),"$18,055"
Median Gross Rent ($/mo),$540
% Renter-Occupied,84.8%
Population Change (%),122701.2%
Pop Density (per km²),7438.6
% Age 18–34,29.5%
% Age 35–64,35.7%
% Age 65+,11.6%
% Bachelor's or Higher,12.3%
Avg Household Size,2.2
% Drive Alone,33.2%
% Public Transit,20.5%
% Walk,14.5%
% Work from Home,22.4%
Median Home Value ($),"$206,991"
Vacancy Rate (%),10.8%
% Owner-Occupied,15.2%
% Units Built Pre-1950,12.1%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,2
Population Change (abs),"3,508"
Prior Income (CPI-adj $),"$37,459"
"Income Change (%, inflation-adj)",-51.8%
Prior Median Rent ($/mo),"$1,063"
Rent Change (%),-49.2%
