Metric,Value
NSA ID,217
NSA Name,Ramblewood
Total Population,"2,275"
Median HH Income ($),"$71,596"
Median Gross Rent ($/mo),"$1,107"
% Renter-Occupied,0.3%
Population Change (%),39.7%
Pop Density (per km²),5605.1
% Age 18–34,19.3%
% Age 35–64,15.2%
% Age 65+,29.1%
% Bachelor's or Higher,23.8%
Avg Household Size,2.7
% Drive Alone,48.3%
% Public Transit,2.3%
% Walk,28.0%
% Work from Home,2.3%
Median Home Value ($),"$162,484"
Vacancy Rate (%),0.0%
% Owner-Occupied,99.7%
% Units Built Pre-1950,97.4%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,628"
Population Change (abs),646
Prior Income (CPI-adj $),"$68,149"
"Income Change (%, inflation-adj)",5.1%
Prior Median Rent ($/mo),"$1,628"
Rent Change (%),-32.0%
