Metric,Value
NSA ID,21
NSA Name,Otterbein
Total Population,"2,589"
Median HH Income ($),"$84,265"
% HH Income Below $50k,36.8%
% HH Income $50k–$100k,20.5%
% HH Income $100k+,42.7%
Median Gross Rent ($/mo),"$1,910"
% Renter-Occupied,68.5%
Population Change (%),20.6%
Pop Density (per km²),9741.4
% Age 18–34,36.0%
% Age 35–64,19.8%
% Age 65+,40.7%
% Bachelor's or Higher,71.6%
Avg Household Size,1.4
% Drive Alone,54.2%
% Public Transit,5.6%
% Walk,15.2%
% Work from Home,18.2%
Median Home Value ($),"$435,487"
Vacancy Rate (%),7.0%
% Vacant — For Rent,5.3%
% Vacant — For Sale,1.3%
% Vacant — Other/Distressed,0.3%
% Owner-Occupied,31.5%
% Units Built Pre-1950,4.5%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,145"
Population Change (abs),443
Pop Change vs City Avg (pp),-732.4%
Prior Income (CPI-adj $),"$61,411"
"Income Change (%, inflation-adj)",37.2%
Income Change vs City Avg (pp),26.9%
Prior Median Rent ($/mo),$604
Rent Change (%),216.4%
Rent Change vs City Avg (pp),190.5%
Prior Median Home Value ($),426600.3798842783
Home Value Change (%),2.1%
Home Value Change vs City Avg (pp),-36.0%
Prior Vacancy Rate (%),1.7%
Vacancy Rate Change (pp),5.3%
Vacancy Change vs City Avg (pp),9.5%
Prior % Bachelor's+,62.9%
Education Change (pp),8.7%
Education Change vs City Avg (pp),5.8%
Market Signals,Renter demand rising; Household incomes rising faster than city; Young adult population growing; Affordability stress — rents outpacing incomes; Gentrification indicators present
